name,x,y,z,is_clock,is_input,is_output,iob,real_io_assoc
A2,114,75,0,1,1,1,IOB_X1Y79,True
A3,114,74,0,1,1,1,IOB_X1Y80,True
A4,114,73,0,1,1,1,IOB_X1Y81,True
A5,114,72,0,1,1,1,IOB_X1Y82,True
A6,114,63,0,1,1,1,IOB_X1Y91,True
A7,114,57,0,1,1,1,IOB_X1Y97,True
A8,114,56,0,1,1,1,IOB_X1Y98,True
A9,2,26,0,1,1,1,IOB_X0Y125,True
A10,2,25,0,1,1,1,IOB_X0Y126,True
A11,2,31,0,1,1,1,IOB_X0Y121,True
A13,2,57,0,1,1,1,IOB_X0Y97,True
A14,2,59,0,1,1,1,IOB_X0Y95,True
A15,2,61,0,1,1,1,IOB_X0Y93,True
A16,2,63,0,1,1,1,IOB_X0Y91,True
A17,2,69,0,1,1,1,IOB_X0Y85,True
B1,114,79,0,1,1,1,IOB_X1Y75,True
B2,114,77,0,1,1,1,IOB_X1Y77,True
B3,114,71,0,1,1,1,IOB_X1Y83,True
B4,114,69,0,1,1,1,IOB_X1Y85,True
B5,114,59,0,1,1,1,IOB_X1Y95,True
B7,114,62,0,1,1,1,IOB_X1Y92,True
B11,2,30,0,1,1,1,IOB_X0Y122,True
B13,2,56,0,1,1,1,IOB_X0Y98,True
B14,2,58,0,1,1,1,IOB_X0Y96,True
B15,2,60,0,1,1,1,IOB_X0Y94,True
B16,2,62,0,1,1,1,IOB_X0Y92,True
B17,2,68,0,1,1,1,IOB_X0Y86,True
B18,2,71,0,1,1,1,IOB_X0Y83,True
C1,114,78,0,1,1,1,IOB_X1Y76,True
C2,114,76,0,1,1,1,IOB_X1Y78,True
C3,114,70,0,1,1,1,IOB_X1Y84,True
C4,114,68,0,1,1,1,IOB_X1Y86,True
C5,114,58,0,1,1,1,IOB_X1Y96,True
C7,114,61,0,1,1,1,IOB_X1Y93,True
C9,2,24,0,1,1,1,IOB_X0Y127,True
C10,2,23,0,1,1,1,IOB_X0Y128,True
C11,2,29,0,1,1,1,IOB_X0Y123,True
C12,2,28,0,1,1,1,IOB_X0Y124,True
C13,2,66,0,1,1,1,IOB_X0Y88,True
C14,2,67,0,1,1,1,IOB_X0Y87,True
C17,2,70,0,1,1,1,IOB_X0Y84,True
C18,2,77,0,1,1,1,IOB_X0Y77,True
D1,114,84,0,1,1,1,IOB_X1Y71,True
D2,114,88,0,1,1,1,IOB_X1Y67,True
D5,114,67,0,1,1,1,IOB_X1Y87,True
D6,114,65,0,1,1,1,IOB_X1Y89,True
D7,114,60,0,1,1,1,IOB_X1Y94,True
D10,2,41,0,1,1,1,IOB_X0Y111,True
D11,2,14,0,1,1,1,IOB_X0Y137,True
D12,2,65,0,1,1,1,IOB_X0Y89,True
D14,2,78,0,1,1,1,IOB_X0Y76,True
D15,2,79,0,1,1,1,IOB_X0Y75,True
D16,2,72,0,1,1,1,IOB_X0Y82,True
D17,2,73,0,1,1,1,IOB_X0Y81,True
D18,2,76,0,1,1,1,IOB_X0Y78,True
E1,114,83,0,1,1,1,IOB_X1Y72,True
E2,114,87,0,1,1,1,IOB_X1Y68,True
E3,114,86,0,1,1,1,IOB_X1Y69,True
E4,114,82,0,1,1,1,IOB_X1Y73,True
E5,114,66,0,1,1,1,IOB_X1Y88,True
E6,114,64,0,1,1,1,IOB_X1Y90,True
E12,2,64,0,1,1,1,IOB_X0Y90,True
E13,2,90,0,1,1,1,IOB_X0Y65,True
E14,2,85,0,1,1,1,IOB_X0Y70,True
E15,2,86,0,1,1,1,IOB_X0Y69,True
E16,2,74,0,1,1,1,IOB_X0Y80,True
E17,2,75,0,1,1,1,IOB_X0Y79,True
E18,2,88,0,1,1,1,IOB_X0Y67,True
F1,114,92,0,1,1,1,IOB_X1Y63,True
F2,114,91,0,1,1,1,IOB_X1Y64,True
F3,114,85,0,1,1,1,IOB_X1Y70,True
F4,114,81,0,1,1,1,IOB_X1Y74,True
F5,114,90,0,1,1,1,IOB_X1Y65,True
F6,114,55,0,1,1,1,IOB_X1Y99,True
F13,2,89,0,1,1,1,IOB_X0Y66,True
F14,2,81,0,1,1,1,IOB_X0Y74,True
F15,2,82,0,1,1,1,IOB_X0Y73,True
F18,2,87,0,1,1,1,IOB_X0Y68,True
G1,114,98,0,1,1,1,IOB_X1Y57,True
G2,114,97,0,1,1,1,IOB_X1Y58,True
G5,114,89,0,1,1,1,IOB_X1Y66,True
G6,114,104,0,1,1,1,IOB_X1Y51,True
G13,2,55,0,1,1,1,IOB_X0Y99,True
G15,2,92,0,1,1,1,IOB_X0Y63,True
G16,2,83,0,1,1,1,IOB_X0Y72,True
G17,2,84,0,1,1,1,IOB_X0Y71,True
G18,2,98,0,1,1,1,IOB_X0Y57,True
H2,114,96,0,1,1,1,IOB_X1Y59,True
H3,114,95,0,1,1,1,IOB_X1Y60,True
H4,114,100,0,1,1,1,IOB_X1Y55,True
H5,114,99,0,1,1,1,IOB_X1Y56,True
H6,114,103,0,1,1,1,IOB_X1Y52,True
H13,2,95,0,1,1,1,IOB_X0Y60,True
H14,2,96,0,1,1,1,IOB_X0Y59,True
H15,2,91,0,1,1,1,IOB_X0Y64,True
H16,2,99,0,1,1,1,IOB_X0Y56,True
H17,2,100,0,1,1,1,IOB_X0Y55,True
H18,2,97,0,1,1,1,IOB_X0Y58,True
J1,114,102,0,1,1,1,IOB_X1Y53,True
J2,114,101,0,1,1,1,IOB_X1Y54,True
J3,114,94,0,1,1,1,IOB_X1Y61,True
J4,114,93,0,1,1,1,IOB_X1Y62,True
J5,114,106,0,1,1,1,IOB_X1Y50,True
J6,114,108,0,1,1,1,IOB_X1Y49,True
J10,47,79,0,1,1,1,IPAD_X0Y0,True
J13,2,103,0,1,1,1,IOB_X0Y52,True
J14,2,104,0,1,1,1,IOB_X0Y51,True
J15,2,102,0,1,1,1,IOB_X0Y53,True
